Postal Code,Latitude,Longitude
Adams,39.0317,- 83.4221
Allen,40.5318,-84.2350
Ashland,41.0358,- 82.2500
Ashtabula,41.584,- 81.0000
Athens,39.3322,- 82.1606
Auglaize,40.4106,- 84.2602
Belmont,40.1023,- 81.1415
Brown,39.1515,- 84.0200
Butler,39.3521,-84.4910
Carroll,40.4342,- 81.1921
Champaign,40.1524,- 84.0212
Clark,40.0224,- 84.0307
Clermont,39.1614,- 84.1912
Clinton,39.3412,- 84.0027
Columbiana,40.5337,- 81.0509
Coshocton,40.2722,- 82.1120
Crawford,40.5937,- 83.0643
Cuyahoga,41.3758,- 81.5814
Darke,40.0208,- 84.4843
Defiance,41.2534,- 84.4808
Delaware,40.2639,- 83.1500
Erie,41.2548,- 82.5716
Fairfield,39.5627,- 82.5039
Fayette,39.43,- 83.1326
Franklin,40.0835,- 83.1538
Fulton,41.4242,- 84.2030
Gallia,39.0204,- 82.2140
Geauga,41.4253,- 81.2331
Greene,39.5102,- 84.0648
Guernsey,40.1314,- 81.4616
Hamilton,39.182,- 84.4907
Hancock,41.1004,- 83.5250
Hardin,40.4841,- 83.5212
Harrison,40.2558,- 81.2022
Henry,41.2009,- 84.1340
Highland,39.2242,- 83.5221
Hocking,39.3912,- 82.4455
Holmes,40.4005,- 82.1120
Huron,41.1725,- 82.5029
Jackson,39.1226,- 82.4807
Jefferson,40.3542,- 80.5636
Knox,40.3424,- 82.4505
Lake,41.5113,- 81.2920
Lawrence,38.5055,- 82.4856
Licking,40.1637,- 82.4654
Logan,40.322,- 84.0100
Lorain,41.3055,- 82.2045
Lucas,41.5736,- 83.5258
Madison,40.0636,-83.3914
Mahoning,41.0803,-81.0525
Marion,40.4114,- 83.2505
Medina,41.0812,- 82.1025
Meigs,39.122,- 82.1927
Mercer,40.4341,- 84.4817
Miami,40.1151,- 84.2539
Monroe,39.521,- 81.1701
Montgomery,39.5512,- 84.2905
Morgan,39.4613,- 82.0322
Morrow,40.4211,- 83.0133
Muskingum,40.0958,- 82.1403
Noble,39.5705,- 81.4157
Ottawa,41.513,- 83.2455
Paulding,41.1507,- 84.4808
Perry,39.5523,- 82.2806
Pickaway,39.4845,- 83.1601
Pike,39.1153,- 83.2310
Portage,41.2053,- 81.2336
Preble,39.5459,- 84.4858
Putnam,41.0925,- 84.2354
Richland,40.5945,- 82.4306
Ross,39.3058,- 83.2335
Sandusky,41.3004,- 83.2510
Scioto,39.0056,- 83.1605
Seneca,41.152,- 83.2730
Shelby,40.2855,- 84.2600
Stark,40.585,- 81.3900
Summit,41.1639,- 81.4118
Trumbull,41.3,- 81.0000
Tuscarawas,40.4,- 81.4243
Union,40.3025,- 83.3305
Van Wert,40.5922,- 84.4807
Vinton,39.2343,-82.4550
Warren,39.352,- 84.2110
Washington,39.384,- 81.5112
Wayne,40.593,- 82.0730
Williams,41.4223,-84.4816
Wood,41.3709,- 83.5253
Wyandot,40.5933, - 83.3055
